time,prediction,prediction_tau,idle,transmit
0,14,21,0.00502809,0.0143888
0,14,22,0,0
0,14,23,0.0030774,-0.003196
0,14,24,0.00347859,-0.00323147
0,14,25,0,0
0,15,0,-0.00423658,0.00677573
0,15,1,-0.00376612,0.00305932
0,15,2,0,0
0,15,3,0,0
0,15,4,-0.01149,-0.0207292
0,15,5,-0.0102491,-0.00270429
0,15,6,-0.00209201,0.0359883
0,15,7,-0.00371652,-0.00942779
0,15,8,-0.00578943,0.0286767
0,15,9,-0.00771911,-0.00796412
0,15,10,-0.00448819,0.0610541
0,15,11,-0.00300333,0.0175829
0,15,12,-0.00127674,0.0361723
0,15,13,0.000758986,0.0364289
0,15,14,0.00164043,0.00462539
0,15,15,0.00530593,0.0758098
0,15,16,0.00346174,0.00548144
0,15,17,0.00972693,0.030096
0,15,18,0.00907316,0.0244904
0,15,19,0.00364172,-0.0128059
0,15,20,0.00417083,0.00548211
0,15,21,0.00272318,0.00584261
0,15,22,0,0
0,15,23,0,0
0,15,24,0.00701674,0.0226703
0,15,25,0,0
0,16,0,0,0
0,16,1,0,0
0,16,2,0,0
0,16,3,0,0
0,16,4,0,0
0,16,5,-0.00265576,0.00078592
0,16,6,-0.00189643,0.0017866
0,16,7,-0.00481241,0.0218176
0,16,8,-0.00154258,0.0338975
0,16,9,-0.00226611,0.00346901
0,16,10,-0.00256265,0.0604899
0,16,11,0,0
0,16,12,1.05967e-05,0.0151613
0,16,13,0,0
0,16,14,0.00115908,0.0165748
0,16,15,0.00196043,0.033374
0,16,16,0.0029902,0.0667533
0,16,17,0.00294987,0.00870123
0,16,18,0,0
0,16,19,0.00541238,0.0386997
0,16,20,0,0
0,16,21,0,0
0,16,22,0,0
0,16,23,0,0
0,16,24,0,0
0,16,25,0,0
0,17,0,0,0
0,17,1,0,0
0,17,2,0,0
0,17,3,0,0
0,17,4,0,0
0,17,5,0,0
0,17,6,0,0
0,17,7,0,0
0,17,8,0,0
0,17,9,0,0
0,17,10,0,0
0,17,11,0,0
0,17,12,0,0
0,17,13,0,0
0,17,14,0,0
0,17,15,0.00187869,0.0214012
0,17,16,0.00128193,0.00486048
0,17,17,0,0
0,17,18,0,0
0,17,19,0.00212177,0.0226275
0,17,20,0,0
0,17,21,0,0
0,17,22,0,0
0,17,23,0,0
0,17,24,0,0
0,17,25,0,0
0,18,0,0,0
0,18,1,0,0
0,18,2,0,0
0,18,3,0,0
0,18,4,0,0
0,18,5,0,0
0,18,6,0,0
0,18,7,0,0
0,18,8,0,0
0,18,9,0,0
0,18,10,0,0
0,18,11,0,0
0,18,12,0,0
0,18,13,0,0
0,18,14,0,0
0,18,15,0,0
0,18,16,0,0
0,18,17,0,0
0,18,18,0.0019443,0.0288912
0,18,19,0,0
0,18,20,0,0
0,18,21,0,0
0,18,22,0,0
0,18,23,0,0
0,18,24,0,0
0,18,25,0,0
0,19,0,0,0
0,19,1,0,0
0,19,2,0,0
0,19,3,0,0
0,19,4,0,0
0,19,5,0,0
0,19,6,0,0
0,19,7,0,0
0,19,8,0,0
0,19,9,0,0
0,19,10,0,0
0,19,11,0,0
0,19,12,0,0
0,19,13,0,0
