time,prediction,prediction_tau,idle,transmit
0,11,4,-0.029198,-0.172187
0,11,5,-0.0245471,-0.142766
0,11,6,-0.0304553,-0.199407
0,11,7,-0.0289215,-0.197831
0,11,8,-0.0282066,-0.202133
0,11,9,-0.0257808,-0.204134
0,11,10,-0.0219398,-0.23868
0,11,11,-0.0196079,-0.219899
0,11,12,-0.0161362,-0.180775
0,11,13,-0.0128135,-0.182985
0,11,14,-0.00970575,-0.198038
0,11,15,-0.00684231,-0.208268
0,11,16,-0.00408504,-0.234618
0,11,17,-0.00081881,-0.211637
0,11,18,0.00221751,-0.208684
0,11,19,0.00493336,-0.18733
0,11,20,0.00847449,-0.16646
0,11,21,0.0117329,-0.208498
0,11,22,0.014144,-0.208491
0,11,23,0.0166054,-0.194522
0,11,24,0.0178887,-0.189554
0,11,25,0.0203655,-0.164361
0,11,26,0.0219674,-0.157166
0,11,27,0.0235804,-0.204337
0,11,28,0.0184055,-0.116322
0,11,29,0.00879855,-0.0414699
0,11,30,0.0128373,-0.0806002
0,12,0,-0.00451982,-0.0377933
0,12,1,0,0
0,12,2,-0.00755533,-0.0359941
0,12,3,-0.0126838,-0.0347088
0,12,4,-0.0123221,-0.0403181
0,12,5,-0.0156993,-0.0855538
0,12,6,-0.0235947,-0.124252
0,12,7,-0.023096,-0.110959
0,12,8,-0.0248889,-0.140205
0,12,9,-0.0208858,-0.164291
0,12,10,-0.0186706,-0.147284
0,12,11,-0.017052,-0.146802
0,12,12,-0.0139974,-0.21065
0,12,13,-0.0116926,-0.157445
0,12,14,-0.00709045,-0.128995
0,12,15,-0.00488976,-0.179968
0,12,16,-0.0019617,-0.150916
0,12,17,0.000796682,-0.140246
0,12,18,0.00297429,-0.146903
0,12,19,0.00554372,-0.17922
0,12,20,0.00789583,-0.108547
0,12,21,0.00964387,-0.168463
0,12,22,0.0126517,-0.179055
0,12,23,0.0148601,-0.138168
0,12,24,0.0160678,-0.132767
0,12,25,0.0143457,-0.131438
0,12,26,0.0112923,-0.0739021
0,12,27,0.0142955,-0.100581
0,12,28,0.018421,-0.0787941
0,12,29,0.00607241,-0.0198766
0,12,30,0.00382909,-0.00416907
0,13,0,0,0
